Name	Address	Public
def_40116D	00401326	
jpt_40116D	0040132C	
def_401990	00401A9B	
jpt_401990	00401AA0	
UNK_ConfigFileHandlerMAYBE_401AF0	00401AF0	
def_402321	004025D7	
def_4028ED	00402AB0	
jpt_402321	0040305C	
jpt_4028ED	004030D4	
def_403143	00403232	
jpt_403143	0040340C	
def_4035AB	00403669	
jpt_4035AB	00403984	
def_4039E1	00403A6E	
jpt_4039E1	00403D50	
UNK_elfControlInitialize_404B10	00404B10	
UNK_ProcessInput_404DD0	00404DD0	
UNK_LoadControlMapMAYBE_406080	00406080	
UNK_ReadInputCfgMAYBE_406470	00406470	
UNK_elfControlRemoveMapping_407500	00407500	
UNK_elfControlReplaceMapping_4078A0	004078A0	
UNK_elfControlCreateMapping_4078E0	004078E0	
def_407B23	00407B4B	
jpt_407B23	00407BE8	
UNK_LoadVideoCfgMAYBE_408880	00408880	
UNK_ForceCfgLoadMAYBE_40A680	0040A680	
UNK_LoadForceCfgMAYBE_40AB80	0040AB80	
UNK_CheckForceCfgMAYBE_40AE40	0040AE40	
DrawJoystickSettingsMenu_maybe_40C7A0	0040C7A0	
DrawMouseSettingsMenu_maybe_40D2C0	0040D2C0	
DrawKeyboardSettingsMenu_maybe_40DD10	0040DD10	
DrawVideoSettingsMenu_maybe_40E6A0	0040E6A0	
DrawAudioSettingsMenu_maybe_40EA70	0040EA70	
DrawForceFeedbackSettings_maybe_40EF40	0040EF40	
DrawKeyboardReservedKeysMenu_maybe_40FB50	0040FB50	
DrawLoadSaveSettingsMenu_maybe_40FFE0	0040FFE0	
DrawProfileSelectMenu_maybe_410230	00410230	
UNK_ProcessCheatInputs_maybe_4104F0	004104F0	
UNK_RenderBubbleIcon_maybe_411170	00411170	
UNK_RenderOKButton_maybe_411210	00411210	
Unk_swrQuad_LoadTGA_maybe_4114D0	004114D0	
def_411664	004116B9	
jpt_411664	00411708	
UNK_RenderMainMenu_maybe_411950	00411950	
Unk_swrQuad_InitMainGraphics_maybe_412650	00412650	
Unk_swrQuad_TryLoadTgaOrSprite_maybe_412E90	00412E90	
UNK_RenderTextPlain_maybe_4131C0	004131C0	
UNK_RenderTextBubble_maybe_4132A0	004132A0	
SetRGBAtoUNK6_maybe_4138B0	004138B0	
UNK_DrawSettingsMenuPageTitle_maybe_413FC0	00413FC0	
UNK_RenderDialogBox_maybe_4146C0	004146C0	
SetRGBAtoUNK1_maybe_414BE0	00414BE0	
SetRGBAtoUNK3_maybe_414C10	00414C10	
SetRGBAtoUNK4_maybe_414C40	00414C40	
SetRGBAtoUNK5_maybe_414C70	00414C70	
SetRGBAtoUNK2_maybe_414CA0	00414CA0	
Unk_swrUI_GetById_414D90	00414D90	
SetRegionToUnk1_maybe_415810	00415810	
def_415869	00415AE8	
jpt_415869	00415AEC	
def_415B9C	00415C5D	
jpt_415B9C	00415C74	
def_415CC3	00415E79	
jpt_415CC3	00415E90	
def_415EED	004160D0	
jpt_415EED	004160EC	
def_416397	0041648C	
jpt_416397	00416628	
def_4166C2	004167E0	
jpt_4166C2	004167F8	
Unk_swrQuad_MapResourcePtrToIdx_maybe_416FD0	00416FD0	
__get_fname	00417010	
def_418185	0041835A	
jpt_418185	0041847C	
def_418763	00418873	
jpt_418763	004188A0	
def_41945B	0041949C	
jpt_41945B	004194A4	
UNK_SetSavRelatedVtableItem_maybe_41B750	0041B750	
UNK_RunSavRelatedVtableFunction_maybe_41B8F0	0041B8F0	
UNK_BuildSavRelatedVtable_maybe_41BA00	0041BA00	
UNK_Set41BD50_41BD50	0041BD50	
def_41BED9	0041C051	
jpt_41BED9	0041C0D8	
UpdateMultiplayer_maybe_41C1D0	0041C1D0	
std::locale::classic(void)	0041C3E0	
std::locale::classic(void)	0041E590	
UNK_DrawMultiplayerMenu_maybe_41E9B0	0041E9B0	
UNK_DrawMPJoinOrHostMenu_maybe_41EA20	0041EA20	
UNK_DrawMPMakeLobbyMenu_maybe_41EB80	0041EB80	
UNK_DrawMPSelectLobbyMenu_41F0E0	0041F0E0	
UNK_DrawMPRaceSettingsMenu_maybe_41F940	0041F940	
UNK_DrawMPReturnToLobbyMenu_maybe_420600	00420600	
CopyTrackNameToBuffer_maybe_420930	00420930	
UNK_ReadRacerTab_maybe_421120	00421120	
swrText_CmpRacerTab_4212F0	004212F0	
UNK_swrText_Translate_421360	00421360	
def_421552	004214DB	
jpt_421552	00421778	
UNK_LoadSAV_421850	00421850	
UNK_DeleteSAV_421950	00421950	
UNK_WriteSAV_4219D0	004219D0	
UNK_CreateNewProfileSavMAYBE_421AC0	00421AC0	
UNK_PrepareIntermediaryTGFD_MAYBE_421B20	00421B20	
UNK_LoadTGFD_421B90	00421B90	
WriteFileTGFD_maybe_421C90	00421C90	
AreTGFDPodUnlocksEmpty_maybe_421D80	00421D80	
UNK_LoadAudioCfgMAYBE_422140	00422140	
Unk_swrSound_CreateSourceFromFile_423050	00423050	
Unk_swrSound_Find_4231B0	004231B0	
Unk_swrSound_Add_4231D0	004231D0	
Unk_swrSound_Remove_4231F0	004231F0	
Unk_swrSound_CreateThread_423210	00423210	
Unk_swrSound_TerminateThread_4232C0	004232C0	
Unk_swrSound_ThreadRoutine_423330	00423330	
Unk_swrSound_SetPlayEvent_423350	00423350	
UNK_MainLoop_423580	00423580	
UNK_SetIntroMovieWindowPosWrapper_maybe_4238A0	004238A0	
WinMain(x,x,x,x)	004238D0	
def_42397F	00423A38	
jpt_42397F	00423A80	
def_423BEA	00423C1F	
jpt_423BEA	00423C6C	
nullsub_1	00423CB0	
UNK_GameSetup_maybe_423CC0	00423CC0	
GameShutdown_maybe_4240D0	004240D0	
MainLoopIndirect_423580	00424140	
UNK_SetupRenderSurface_maybe_424180	00424180	
UNK_ParseCommandLineArguments_424430	00424430	
ShowVideoConfigDialog_maybe_4246D0	004246D0	
VideoConfigDialogCallback_maybe_424700	00424700	
UNK_RenderVideoConfigWindow_maybe_424760	00424760	
UNK_WriteVideoConfigData_maybe_424A90	00424A90	
UNK_PlayVideoFile_maybe_4252A0	004252A0	
def_4266B3	004266FA	
jpt_4266B3	00426710	
EntityCallback_nullsub2_426910	00426910	
UNK_CallSomeNullDebugFunc_maybe_4270C0	004270C0	
WavGetFilename_maybe_427110	00427110	
def_427145	00427319	
jpt_427145	00427324	
jpt_427272	00427344	
UNK_SoundRelated_427590	00427590	
UNK_CheckBitInE9ED60_427670	00427670	
UNK_SetBitInE9ED60_427690	00427690	
UNK_UnsetBitInE9ED60_4276A0	004276A0	
def_4277F9	00427864	
jpt_4277F9	00427868	
Unk_swrQuad_InitQuad_maybe_4282F0	004282F0	
Unk_swrQuad_ClearInitializedQuads_428370	00428370	
Unk_swrQuad_SetActive_4285D0	004285D0	
Unk_swrQuad_SetPosition_428660	00428660	
Unk_swrQuad_SetSize_4286F0	004286F0	
Unk_swrQuad_SetColor_428740	00428740	
Unk_swrQuad_SetQuadFlags_maybe_4287E0	004287E0	
Unk_swrQuad_UnsetQuadFlags_maybe_428800	00428800	
Unk_SetDebugMenuRelated_maybe_429CD0	00429CD0	
AddScaledValueAndClamp_f_429D50	00429D50	
AddScaledValueAndClamp_i32_429D90	00429D90	
DebugMenuSetTextVehicleStats_429DC0	00429DC0	
def_429DFD	0042A09D	
jpt_429DFD	0042A0C0	
DebugSetVehicleStat_maybe_42A110	0042A110	
def_42A147	0042A536	
jpt_42A147	0042A53C	
DebugMenuSetTextMain_42A580	0042A580	
def_42A5AE	0042A7FD	
jpt_42A5AE	0042A814	
SetPauseMenuTextMain_maybe_42A840	0042A840	
def_42A869	0042A9C2	
jpt_42A869	0042A9D8	
DebugSetGameValue_maybe_42A9F0	0042A9F0	
def_42A9FD	0042AB3D	
jpt_42A9FD	0042AB40	
SetPauseMenuText_maybe_42AC70	0042AC70	
DebugSetValue_42ACF0	0042ACF0	
def_42BFA7	0042BFCE	
jpt_42BFA7	0042C188	
def_42CCE1	0042CD10	
jpt_42CCE1	0042D314	
___setargv	0042D500	
